,Unnamed: 0,exp,sub_id,segment_seconds,path,activation_arr,valence_arr,segment_id,valence,arousal
816,1619,assessment,2280001,4.0,/z/lancelcy/R21/mfbs/1619.npy,{5|4|5|5|4},{5|4|5|5|6},1619,1,1
817,1622,assessment,2280001,2.0,/z/lancelcy/R21/mfbs/1622.npy,{5|5|4|4|5},{4|4|4|4|3},1622,0,1
818,1623,assessment,2280001,2.0,/z/lancelcy/R21/mfbs/1623.npy,{5|5|6|5|6},{4|5|5|5|7},1623,1,1
819,1624,assessment,2280001,3.0,/z/lancelcy/R21/mfbs/1624.npy,{5|4|4|4|3},{5|5|5|5|3},1624,1,0
820,1625,assessment,2280001,5.0,/z/lancelcy/R21/mfbs/1625.npy,{4|4|4|4|5},{5|3|5|4|5},1625,1,0
821,1626,assessment,2280001,8.0,/z/lancelcy/R21/mfbs/1626.npy,{5|6|6|5|5},{7|6|7|6|7},1626,2,1
822,1627,assessment,2280001,8.0,/z/lancelcy/R21/mfbs/1627.npy,{5|3|3|3|1},{5|4|3|4|1},1627,0,0
823,1632,assessment,2280001,4.0,/z/lancelcy/R21/mfbs/1632.npy,{5|5|5|5|6},{7|5|6|6|6},1632,2,1
824,1633,assessment,2280001,6.0,/z/lancelcy/R21/mfbs/1633.npy,{6|6|7|6|7},{7|6|7|7|8},1633,2,2
825,1634,assessment,2280001,2.0,/z/lancelcy/R21/mfbs/1634.npy,{5|5|6|5|5},{5|5|5|5|6},1634,1,1
826,1635,assessment,2280001,4.0,/z/lancelcy/R21/mfbs/1635.npy,{5|6|6|5|5},{6|6|6|6|5},1635,2,1
827,1636,assessment,2280001,7.0,/z/lancelcy/R21/mfbs/1636.npy,{5|5|6|5|6},{5|5|5|5|7},1636,1,1
828,1637,assessment,2280001,7.0,/z/lancelcy/R21/mfbs/1637.npy,{5|5|4|5|4},{6|4|5|5|5},1637,1,1
829,1638,assessment,2280001,15.0,/z/lancelcy/R21/mfbs/1638.npy,{5|5|3|4|6},{6|5|5|5|5},1638,1,0
830,1639,assessment,2280001,7.0,/z/lancelcy/R21/mfbs/1639.npy,{4|4|4|4|5},{4|5|5|5|5},1639,1,0
832,1642,assessment,2280001,8.0,/z/lancelcy/R21/mfbs/1642.npy,{4},{5},1642,1,0
833,1643,assessment,2280001,5.0,/z/lancelcy/R21/mfbs/1643.npy,{5|5|6|5|7},{5|5|5|7|6},1643,1,1
834,1644,assessment,2280001,5.0,/z/lancelcy/R21/mfbs/1644.npy,{5|6|6|5|7},{6|6|5|5|6},1644,2,2
835,1645,assessment,2280001,2.0,/z/lancelcy/R21/mfbs/1645.npy,{4|5|4|4|1},{4|4|4|5|2},1645,0,0
836,1647,assessment,2280001,2.0,/z/lancelcy/R21/mfbs/1647.npy,{4|3|4|2|1},{4|3|4|3|3},1647,0,0
837,1648,assessment,2280001,2.0,/z/lancelcy/R21/mfbs/1648.npy,{5|5|3|5|4},{6|5|5|5|5},1648,1,1
838,1649,assessment,2280001,6.0,/z/lancelcy/R21/mfbs/1649.npy,{5|4|4|4|5},{5|4|5|4|4},1649,0,0
839,1650,assessment,2280001,3.0,/z/lancelcy/R21/mfbs/1650.npy,{5|4|3|5|2},{5|3|5|5|4},1650,1,0
840,1651,assessment,2280001,6.0,/z/lancelcy/R21/mfbs/1651.npy,{4|4|5|4|3},{5|4|5|4|5},1651,1,0
841,1654,assessment,2280001,2.0,/z/lancelcy/R21/mfbs/1654.npy,{5|5|6|5|5},{6|5|5|5|6},1654,1,1
842,1655,assessment,2280001,6.0,/z/lancelcy/R21/mfbs/1655.npy,{4|4|4|4|2},{3|3|5|5|4},1655,0,0
843,1657,assessment,2280001,9.0,/z/lancelcy/R21/mfbs/1657.npy,{4|4|6|5|5},{4|3|5|5|4},1657,0,0
844,1658,assessment,2280001,2.0,/z/lancelcy/R21/mfbs/1658.npy,{5|5|5|4|2},{5|5|4|4|2},1658,0,1
845,1659,assessment,2280001,2.0,/z/lancelcy/R21/mfbs/1659.npy,{5|5|4|5|5},{4|4|5|5|5},1659,1,1
846,1662,assessment,2280001,3.0,/z/lancelcy/R21/mfbs/1662.npy,{5|4|4|4|4},{5|4|4|4|3},1662,0,0
