,features,dataset,emotion,validation
0,/z/lancelcy/data/orig/iemocap/mfbs/Ses01F_impro01_F000.npy,0,0.5;0.5;0.,0
1,/z/lancelcy/data/orig/iemocap/mfbs/Ses01F_impro01_F001.npy,0,0.5;0.5;0.,1
2,/z/lancelcy/data/orig/iemocap/mfbs/Ses01F_impro01_F002.npy,0,0.5;0.5;0.,0
3,/z/lancelcy/data/orig/iemocap/mfbs/Ses01F_impro01_F003.npy,0,0.5;0.5;0.,0
4,/z/lancelcy/data/orig/iemocap/mfbs/Ses01F_impro01_F004.npy,0,0.5;0.5;0.,1
5,/z/lancelcy/data/orig/iemocap/mfbs/Ses01F_impro01_F005.npy,0,0.5;0.5;0.,0
6,/z/lancelcy/data/orig/iemocap/mfbs/Ses01F_impro01_F006.npy,0,1.;0.;0,0
7,/z/lancelcy/data/orig/iemocap/mfbs/Ses01F_impro01_F007.npy,0,0.5;0.5;0.,0
8,/z/lancelcy/data/orig/iemocap/mfbs/Ses01F_impro01_F008.npy,0,1.;0.;0,1
9,/z/lancelcy/data/orig/iemocap/mfbs/Ses01F_impro01_F009.npy,0,1.;0.;0,0
10,/z/lancelcy/data/orig/iemocap/mfbs/Ses01F_impro01_F010.npy,0,1.;0.;0,0
11,/z/lancelcy/data/orig/iemocap/mfbs/Ses01F_impro01_F011.npy,0,1.;0.;0,1
12,/z/lancelcy/data/orig/iemocap/mfbs/Ses01F_impro01_F012.npy,0,1.;0.;0,0
13,/z/lancelcy/data/orig/iemocap/mfbs/Ses01F_impro01_F013.npy,0,1.;0.;0,0
14,/z/lancelcy/data/orig/iemocap/mfbs/Ses01F_impro01_F014.npy,0,0.5;0.5;0.,1
15,/z/lancelcy/data/orig/iemocap/mfbs/Ses01F_impro01_F015.npy,0,0.5;0.5;0.,0
16,/z/lancelcy/data/orig/iemocap/mfbs/Ses01F_impro01_M000.npy,0,0.5;0.5;0.,0
17,/z/lancelcy/data/orig/iemocap/mfbs/Ses01F_impro01_M001.npy,0,0.5;0.5;0.,1
18,/z/lancelcy/data/orig/iemocap/mfbs/Ses01F_impro01_M002.npy,0,1.;0.;0,0
19,/z/lancelcy/data/orig/iemocap/mfbs/Ses01F_impro01_M003.npy,0,0.5;0.5;0.,1
20,/z/lancelcy/data/orig/iemocap/mfbs/Ses01F_impro01_M004.npy,0,1.;0.;0,0
21,/z/lancelcy/data/orig/iemocap/mfbs/Ses01F_impro01_M005.npy,0,1.;0.;0,0
22,/z/lancelcy/data/orig/iemocap/mfbs/Ses01F_impro01_M006.npy,0,1.;0.;0,0
23,/z/lancelcy/data/orig/iemocap/mfbs/Ses01F_impro01_M007.npy,0,0.5;0.5;0.,0
24,/z/lancelcy/data/orig/iemocap/mfbs/Ses01F_impro01_M008.npy,0,1.;0.;0,0
25,/z/lancelcy/data/orig/iemocap/mfbs/Ses01F_impro01_M009.npy,0,0.5;0.5;0.,0
26,/z/lancelcy/data/orig/iemocap/mfbs/Ses01F_impro01_M010.npy,0,1.;0.;0,1
27,/z/lancelcy/data/orig/iemocap/mfbs/Ses01F_impro01_M011.npy,0,0.5;0.5;0.,0
28,/z/lancelcy/data/orig/iemocap/mfbs/Ses01F_impro01_M012.npy,0,0.;1.;0,0
29,/z/lancelcy/data/orig/iemocap/mfbs/Ses01F_impro01_M013.npy,0,0.5;0.5;0.,0
30,/z/lancelcy/data/orig/iemocap/mfbs/Ses01F_impro02_F000.npy,0,0.5;0.5;0.,0
31,/z/lancelcy/data/orig/iemocap/mfbs/Ses01F_impro02_F001.npy,0,1.;0.;0,0
32,/z/lancelcy/data/orig/iemocap/mfbs/Ses01F_impro02_F002.npy,0,1.;0.;0,0
33,/z/lancelcy/data/orig/iemocap/mfbs/Ses01F_impro02_F003.npy,0,1.;0.;0,0
34,/z/lancelcy/data/orig/iemocap/mfbs/Ses01F_impro02_F004.npy,0,0.5;0.5;0.,1
35,/z/lancelcy/data/orig/iemocap/mfbs/Ses01F_impro02_F005.npy,0,1.;0.;0,0
