,features,dataset,emotion,validation,valence
0,/z/lancelcy/PRIORI_Emotion/mfbs/49157.npy,0,1;0;0,0,0
1,/z/lancelcy/PRIORI_Emotion/mfbs/49158.npy,0,1;0;0,0,0
2,/z/lancelcy/PRIORI_Emotion/mfbs/49161.npy,0,0;1;0,0,1
3,/z/lancelcy/PRIORI_Emotion/mfbs/49164.npy,0,1;0;0,0,0
4,/z/lancelcy/PRIORI_Emotion/mfbs/49167.npy,0,1;0;0,0,0
5,/z/lancelcy/PRIORI_Emotion/mfbs/49168.npy,0,1;0;0,0,0
6,/z/lancelcy/PRIORI_Emotion/mfbs/49174.npy,0,0;1;0,0,1
7,/z/lancelcy/PRIORI_Emotion/mfbs/49176.npy,0,1;0;0,0,0
8,/z/lancelcy/PRIORI_Emotion/mfbs/49178.npy,0,1;0;0,0,0
9,/z/lancelcy/PRIORI_Emotion/mfbs/49181.npy,0,0;1;0,0,1
10,/z/lancelcy/PRIORI_Emotion/mfbs/49182.npy,0,1;0;0,0,0
11,/z/lancelcy/PRIORI_Emotion/mfbs/49183.npy,0,1;0;0,0,0
12,/z/lancelcy/PRIORI_Emotion/mfbs/49190.npy,0,1;0;0,0,0
13,/z/lancelcy/PRIORI_Emotion/mfbs/49191.npy,0,0;1;0,0,1
14,/z/lancelcy/PRIORI_Emotion/mfbs/49194.npy,0,1;0;0,0,0
15,/z/lancelcy/PRIORI_Emotion/mfbs/49199.npy,0,1;0;0,0,0
16,/z/lancelcy/PRIORI_Emotion/mfbs/49202.npy,0,0;1;0,0,1
17,/z/lancelcy/PRIORI_Emotion/mfbs/49204.npy,0,1;0;0,0,0
18,/z/lancelcy/PRIORI_Emotion/mfbs/49207.npy,0,0;1;0,0,1
19,/z/lancelcy/PRIORI_Emotion/mfbs/49212.npy,0,0;1;0,0,1
20,/z/lancelcy/PRIORI_Emotion/mfbs/49213.npy,0,1;0;0,0,0
21,/z/lancelcy/PRIORI_Emotion/mfbs/49214.npy,0,1;0;0,0,0
22,/z/lancelcy/PRIORI_Emotion/mfbs/49215.npy,0,0;0;1,0,2
23,/z/lancelcy/PRIORI_Emotion/mfbs/49218.npy,0,1;0;0,0,0
24,/z/lancelcy/PRIORI_Emotion/mfbs/49226.npy,0,0;1;0,0,1
25,/z/lancelcy/PRIORI_Emotion/mfbs/49232.npy,0,0;1;0,0,1
26,/z/lancelcy/PRIORI_Emotion/mfbs/49237.npy,0,0;1;0,0,1
27,/z/lancelcy/PRIORI_Emotion/mfbs/49266.npy,0,0;1;0,0,1
28,/z/lancelcy/PRIORI_Emotion/mfbs/49270.npy,0,0;1;0,0,1
29,/z/lancelcy/PRIORI_Emotion/mfbs/49284.npy,0,1;0;0,0,0
30,/z/lancelcy/PRIORI_Emotion/mfbs/49285.npy,0,0;1;0,0,1
31,/z/lancelcy/PRIORI_Emotion/mfbs/49286.npy,0,0;1;0,0,1
32,/z/lancelcy/PRIORI_Emotion/mfbs/49293.npy,0,1;0;0,0,0
33,/z/lancelcy/PRIORI_Emotion/mfbs/49300.npy,0,1;0;0,0,0
34,/z/lancelcy/PRIORI_Emotion/mfbs/49302.npy,0,0;1;0,0,1
35,/z/lancelcy/PRIORI_Emotion/mfbs/49306.npy,0,1;0;0,0,0
