,Unnamed: 0,exp,sub_id,segment_seconds,path,activation_arr,valence_arr,segment_id,valence,arousal
0,0,personal,1830001,4.0,/z/lancelcy/R21/mfbs/0.npy,{5|4|5|7|5|6},{4|5|5|6|5|7},0,1,1
1,1,personal,1830001,7.0,/z/lancelcy/R21/mfbs/1.npy,{8|5|5|7|6|7},{5|6|6|6|5|6},1,2,2
2,2,personal,1830001,3.0,/z/lancelcy/R21/mfbs/2.npy,{3|5|6|6|4},{7|6|6|6|5},2,2,0
3,11,personal,1830001,9.0,/z/lancelcy/R21/mfbs/11.npy,{7|5|6|6|6|4},{6|6|6|7|5|6},11,2,2
4,12,personal,1830001,6.0,/z/lancelcy/R21/mfbs/12.npy,{5|5|7|6|7},{6|5|5|4|5},12,1,2
5,13,personal,1830001,6.0,/z/lancelcy/R21/mfbs/13.npy,{5|7|7|7|9},{5|4|6|5|9},13,1,2
6,17,personal,1830001,4.0,/z/lancelcy/R21/mfbs/17.npy,{7|5|6|7|7|7|8|7|7},{6|4|6|6|6|6|4|5|8},17,2,2
7,18,personal,1830001,2.0,/z/lancelcy/R21/mfbs/18.npy,{4|4|6|4|3},{6|6|5|5|4},18,1,0
8,19,personal,1830001,18.0,/z/lancelcy/R21/mfbs/19.npy,{6|6|7|7},{1|5|5|5},19,1,2
9,20,personal,1830001,18.0,/z/lancelcy/R21/mfbs/20.npy,{4|6},{5|6},20,1,0
10,21,personal,1830001,8.0,/z/lancelcy/R21/mfbs/21.npy,{4|5|5|4|3},{4|4|5|6|3},21,0,0
11,22,personal,1830001,2.0,/z/lancelcy/R21/mfbs/22.npy,{4|6|7|5|7},{6|7|6|6|8},22,2,2
12,23,personal,1830001,9.0,/z/lancelcy/R21/mfbs/23.npy,{6|4|5|7|5|7},{5|6|6|6|6|7},23,2,2
13,24,personal,1830001,7.0,/z/lancelcy/R21/mfbs/24.npy,{6|4|5|7|5|5},{6|7|5|6|5|7},24,2,1
14,25,personal,1830001,4.0,/z/lancelcy/R21/mfbs/25.npy,{5|4|5|7|5|6},{5|5|5|5|5|5},25,1,1
15,26,personal,1830001,9.0,/z/lancelcy/R21/mfbs/26.npy,{7|3|5|7|5|5},{6|5|5|6|5|6},26,1,1
16,27,personal,1830001,10.0,/z/lancelcy/R21/mfbs/27.npy,{5|5|7|6|7},{6|6|7|7|8},27,2,2
17,28,personal,1830001,3.0,/z/lancelcy/R21/mfbs/28.npy,{4|5|6|5|5},{5|5|6|6|6},28,2,1
18,29,personal,1830001,11.0,/z/lancelcy/R21/mfbs/29.npy,{4|3|3|4|3|3|4|4},{5|5|3|5|6|6|6|4},29,1,0
19,31,personal,1830001,13.0,/z/lancelcy/R21/mfbs/31.npy,{6|4|5|5|4|6|6|6|6},{5|6|5|5|6|4|4|3|6},31,0,2
20,34,personal,1830001,7.0,/z/lancelcy/R21/mfbs/34.npy,{3|4|4|4|4|3|6},{6|6|6|7|7|6|7},34,2,0
21,35,personal,1830001,4.0,/z/lancelcy/R21/mfbs/35.npy,{3|4|6|6|5},{6|6|7|7|7},35,2,0
22,40,personal,1830001,4.0,/z/lancelcy/R21/mfbs/40.npy,{4|4|4|6|6},{6|6|6|6|6},40,2,0
23,41,personal,1830001,3.0,/z/lancelcy/R21/mfbs/41.npy,{3|6|4|5|7},{5|6|6|5|6},41,2,0
24,43,personal,1830001,3.0,/z/lancelcy/R21/mfbs/43.npy,{3|5|6|6|6},{4|5|4|6|5},43,0,2
25,44,personal,1830001,2.0,/z/lancelcy/R21/mfbs/44.npy,{5|5|6|4|6},{4|4|4|3|5},44,0,1
26,45,personal,1830001,4.0,/z/lancelcy/R21/mfbs/45.npy,{6|4|6|7|6|7},{3|4|4|5|3|5},45,0,2
27,46,personal,1830001,13.0,/z/lancelcy/R21/mfbs/46.npy,{4|6|7|7|7},{6|5|4|5|8},46,1,2
28,48,personal,1830001,2.0,/z/lancelcy/R21/mfbs/48.npy,{4|5|6|5|5},{5|4|4|4|5},48,0,1
29,49,assessment,1830001,4.0,/z/lancelcy/R21/mfbs/49.npy,{2|4|3|2|2},{3|4|4|4|3},49,0,0
30,50,assessment,1830001,8.0,/z/lancelcy/R21/mfbs/50.npy,{1|4|4|2|4},{4|5|6|4|4},50,0,0
